quarter,level_1,values
1994-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29226.3
1994-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,38153.9
1994-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,39414.7
1994-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,37600.3
1995-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,34100.6
1995-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,39855.9
1995-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,36850
1995-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31891
1996-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29775.4
1996-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31878.4
1996-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32743.3
1996-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32667
1997-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29213.6
1997-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32091
1997-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32247.5
1997-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31778.8
1998-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29355.8
1998-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,30408.8
1998-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32011
1998-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32922.3
1999-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29569.8
1999-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,30128.5
1999-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31302
1999-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31152.2
2000-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29930.4
2000-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31080.5
2000-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32549.2
2000-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29440.2
2001-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28134.3
2001-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31911.6
2001-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28129.4
2001-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,32750.5
2002-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,37531.8
2002-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,35977.9
2002-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,36124.8
2002-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,35890.4
2003-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29915.4
2003-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29001.3
2003-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28504.4
2003-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31735.1
2004-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,30061.5
2004-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,30531.2
2004-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,31297.2
2004-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28978.2
2005-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27903.9
2005-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28861.1
2005-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27362.3
2005-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27219.6
2006-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23945.6
2006-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,24871.3
2006-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25135.8
2006-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25755.8
2007-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26175.9
2007-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28491.9
2007-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,29512
2007-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27895.8
2008-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26771.2
2008-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27559.6
2008-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28067.6
2008-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27697.8
2009-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26401.9
2009-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28462.7
2009-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28252.2
2009-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28430.4
2010-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28234.6
2010-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27960.8
2010-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28676.9
2010-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,28780.9
2011-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,24749.5
2011-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27228.4
2011-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27615.3
2011-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,24988.7
2012-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25172.1
2012-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26022.8
2012-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25934
2012-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26481.6
2013-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25597.6
2013-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,27424
2013-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,26599.4
2013-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25980.5
2014-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,24525.1
2014-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23431.7
2014-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23965.3
2014-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23474.8
2015-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23384.8
2015-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23808.7
2015-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,24311.7
2015-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,25315.1
2016-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23129.9
2016-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23324.9
2016-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23889.9
2016-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23206.6
2017-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,21934.5
2017-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,22573.1
2017-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23162.8
2017-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,23253.4
2018-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,22341
2018-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,22628.2
2018-Q3,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,22552.9
2018-Q4,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,22504
2019-Q1,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,20682
2019-Q2,Total Liquefied Petroleum Gas Sales (Net Tonnes) ,20491.9
